home_team,away_team,home_score,away_score,set_1,set_2,set_3,set_4,set_5
Italy W,Canada W,3,0,25–16,25–15,25–14,,
Germany W,Dominican Republic W,1,3,24–26,25–21,21–25,21–25,
USA W,France W,3,0,25–15,26–24,25–20,,
Bulgaria W,Germany W,1,3,19–25,25–21,21–25,11–25,
USA W,Turkey W,2,3,25–21,20–25,21–25,25–12,12–15
South Korea W,Canada W,0,3,15–25,12–25,18–25,,
Italy W,China W,3,0,25–23,25–19,25–16,,
Brazil W,Thailand W,3,0,25–22,25–14,25–17,,
France W,Netherlands W,0,3,17–25,10–25,21–25,,
Serbia W,Bulgaria W,3,1,18–25,25–21,25–17,25–16,
Poland W,USA W,3,1,29–27,25–22,20–25,25–23,
South Korea W,Turkey W,0,3,20–25,15–25,20–25,,
Thailand W,China W,0,3,23–25,17–25,18–25,,
Dominican Republic W,Japan W,1,3,20–25,25–23,24–26,23–25,
Brazil W,Italy W,3,2,26–24,25–27,18–25,25–19,15–10
Bulgaria W,USA W,0,3,17–25,22–25,22–25,,
Serbia W,Canada W,3,1,25–22,21–25,26–24,25–20,
Germany W,Poland W,0,3,23–25,20–25,21–25,,
Japan W,China W,3,1,25–22,19–25,25–18,25–17,
Netherlands W,Dominican Republic W,3,1,25–17,23–25,25–21,25–17,
France W,Thailand W,2,3,23–25,21–25,25–23,25–20,7–15
Serbia W,Turkey W,1,3,18–25,31–33,25–21,21–25,
Canada W,Germany W,3,0,25–20,25–15,25–22,,
South Korea W,Poland W,0,3,20–25,20–25,10–25,,
Brazil W,Netherlands W,3,1,25–17,20–25,25–20,25–18,
France W,Japan W,0,3,14–25,18–25,15–25,,
Dominican Republic W,Italy W,0,3,12–25,19–25,21–25,,
Germany W,Turkey W,1,3,25–20,20–25,9–25,24–26,
South Korea W,Bulgaria W,2,3,23–25,25–20,26–24,21–25,13–15
Netherlands W,China W,1,3,25–21,23–25,23–25,21–25,
Italy W,France W,3,0,25–15,25–14,25–14,,
Canada W,USA W,1,3,22–25,17–25,25–23,20–25,
Poland W,Serbia W,3,1,25–16,23–25,25–18,25–22,
Brazil W,Japan W,3,2,24–26,26–24,19–25,25–20,15–11
Thailand W,Dominican Republic W,3,1,25–22,20–25,25–17,26–24,
Thailand W,South Korea W,1,3,19–25,25–23,16–25,18–25,
France W,Turkey W,0,3,19–25,16–25,19–25,,
USA W,Dominican Republic W,3,0,25–23,25–20,25–18,,
Poland W,Japan W,3,0,26–24,25–20,25–23,,
Brazil W,Serbia W,3,0,25–15,25–19,25–19,,
Germany W,Netherlands W,1,3,21–25,25–21,23–25,20–25,
Thailand W,Canada W,1,3,21–25,13–25,25–20,17–25,
South Korea W,Dominican Republic W,0,3,13–25,19–25,20–25,,
Italy W,Turkey W,3,1,25–27,25–21,25–21,25–19,
Serbia W,China W,1,3,25–21,15–25,18–25,18–25,
France W,Bulgaria W,3,1,19–25,25–21,25–11,29–27,
Poland W,Netherlands W,3,0,25–20,26–24,25–18,,
Brazil W,USA W,3,1,25–22,25–16,18–25,25–19,
China W,Canada W,1,3,22–25,25–20,23–25,22–25,
Italy W,Bulgaria W,3,0,25–11,25–22,25–19,,
Serbia W,Thailand W,3,0,25–13,29–27,25–19,,
France W,Poland W,0,3,20–25,16–25,17–25,,
Japan W,Germany W,3,0,25–21,25–15,25–22,,
Dominican Republic W,Canada W,0,3,20–25,21–25,22–25,,
China W,USA W,3,1,23–25,25–23,25–22,25–19,
Brazil W,South Korea W,3,0,25–15,25–19,25–17,,
Netherlands W,Turkey W,1,3,14–25,25–23,23–25,18–25,
Bulgaria W,Japan W,0,3,13–25,15–25,15–25,,
Germany W,Italy W,1,3,16–25,16–25,25–21,22–25,
Serbia W,Dominican Republic W,1,3,18–25,17–25,25–21,20–25,
USA W,Thailand W,3,1,25–22,19–25,25–12,25–18,
Japan W,Turkey W,3,2,25–23,25–21,23–25,20–25,15–11
France W,Germany W,0,3,22–25,14–25,22–25,,
Brazil W,Canada W,3,1,26–24,23–25,26–24,25–12,
China W,South Korea W,3,0,25–15,25–16,25–14,,
Italy W,Poland W,0,3,26–28,23–25,21–25,,
Bulgaria W,Netherlands W,0,3,14–25,20–25,22–25,,
